Portfolio,Agency,Tier,Project name,Project description,DCA 2026,DCA 2025,DCA 2024,Delivery status,Total budget (millions),Digital budget (millions),Project start date,Project end date
"Climate Change, Energy, the Environment and Water",Australian Energy Regulator,Tier 2,Data and Digital Transformation,"The project will allow the Australian Energy Regulator (AER) to collect data from energy retail businesses efficiently, quickly and effectively, and conduct critical analysis to deliver stronger outcomes to energy consumers. Using improved data and digital systems, the AER will be able to provide richer and more timely insights into energy consumer outcomes, including levels of debt and the assistance retailers are providing in this time of significant cost-of-living pressures.",Medium-Low,Medium,Not reported,Active,3.2,2.1,July 2024,June 2026
"Climate Change, Energy, the Environment and Water",Australian Energy Regulator,Tier 3,Energy Made Easy (EME) Enhancements,"The AER holds 2 statutory obligations in relation to the EME website and the Consumer Data Right (Energy) initiative. The first obligation, under the National Energy Retail Law, requires the AER to provide an online energy price comparison service for Australian consumers. The second obligation, under the Competition and Consumer (Consumer Data Right) Amendment Rules 2021, requires the AER to make retail energy product data accessible through an online request service. 
This project aims to secure essential support for the delivery of services including the consumer-facing EME website, the industry-facing Retailer Portal, and Consumer Data Right online request service. Together, these services will ensure energy consumers have access to an independent and trusted service where they can compare energy offers and find the best prices, and that retailer energy data can be collected and shared to promote data transparency and foster innovation.",,,,Active,16.0,16.0,July 2025,June 2029
"Climate Change, Energy, the Environment and Water",Bureau of Meteorology,Tier 1,ROBUST Transition Program,The ROBUST Transition Program is the successor of the ROBUST Program that closed on 30 June 2024. The primary objective of the program is to deliver the residual scope from the ROBUST Program to enable the Bureau to realise the full outcomes and benefits from the ROBUST Program. ,High,Medium-High,,Active,39.8,39.8,July 2024,November 2025
"Climate Change, Energy, the Environment and Water",Bureau of Meteorology,Tier 2,Water Market Reform - Strengthening Integrity and Transparency,"This project is restoring transparency, integrity and confidence to water markets through a new single digital platform for national water data management, a new water market website and water market data standards.",High,High,Not reported,Active,32.7,18.2,December 2022,June 2027
"Climate Change, Energy, the Environment and Water",Bureau of Meteorology,Tier 3,National Climate Adaptation and Risk Program ,"The National Climate Risk Assessment identified and analysed nationally significant climate-related risks for Australia, for action by the National Adaptation Plan. These are risks with pervasive and prolonged consequences that require a national, coordinated response.",,,,Closed,22.9,0.2,November 2023,June 2025
"Climate Change, Energy, the Environment and Water",Clean Energy Regulator,Tier 2,"Integrated Transformation and Sustainment Investment (ITSI) Program Tranche 1: Core technological modernisation, streamlined digital services and transparency","The ITSI includes a range of individual initiatives that will deliver new business and technological capability to accelerate carbon abatement and improved biodiversity outcomes for Australia. From 2021, Program Tranche 1 began core technological modernisation, streamlined digital services and transparency.",Medium,Medium-High,Medium,Active,145.0,63.4,August 2021,June 2028
"Climate Change, Energy, the Environment and Water",Clean Energy Regulator,Tier 2,Integrated Transformation and Sustainment Investment (ITSI) Program Tranche 2: Leverage modernised capabilities and investment value extension,"The ITSI includes a range of individual initiatives that will deliver new business and technological capability to accelerate carbon abatement and improved biodiversity outcomes for Australia. From 2023, Program Tranche 2 extends core technological capability, delivering new schemes and continuing to modernise existing scheme administration and transparency.",Medium,Medium-Low,,Active,159.4,82.7,August 2021,June 2034
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 1,Australian Energy Market Operator Digital Systems Enhancement Program,"This project is to design, implement and operate a Digital Systems Enhancement Program.",NFP,,,Active,NFP,NFP,NFP,NFP
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 2,Capturing Australia’s Emissions Reduction Data – Additional Funding,"The aim of this project is to support and enhance core IT systems for the ongoing delivery of Australia’s National Greenhouse Accounts (historical and projected greenhouse gas emissions estimates) to fulfil legislative and international treaty reporting obligations, track progress against national emissions reduction targets, inform national and sectoral decarbonisation plans and 2035 target setting, and enable continued delivery of tools required for the Australian Carbon Credit Unit scheme.",Medium-High,Medium-High,,Active,20.4,13.8,August 2023,June 2026
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 2,Establishing the National Environmental Protection Agency ,"The aim of this project is to establish a new independent Commonwealth agency, the National Environmental Protection Agency, to enforce national environmental laws and restore confidence in Australia’s environmental protection system. The funding usage includes both operating costs and one-off transitional costs.",Medium,Medium-Low,Not reported,Paused,121.0,28.1,July 2023,June 2027
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 2,Improved greenhouse gas accounting at national and farm levels,"This project aims to improve greenhouse gas accounting in the agriculture and land sector at the national level through to farm level. The overall budget measure will deliver: 
•	common standards for estimating and reporting agriculture and land sector emissions and removals on farm
•	improved National Greenhouse Accounts (NGA) methods that will ensure the NGA provides more robust national agriculture and land sector emissions and removals data.  
The digital and ICT measure, as part of the overall budget measure, facilitates accessibility of NGA data and calculations for users of different technical capability, including through a web mapping interface and Application Programming Interface.",Medium-High,,,Active,20.9,7.1,August 2025,July 2028
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 3,??Energy Model Enhancement (EME) Project,"This measure aims to improve energy planning and inform investment in energy networks and enabling infrastructure, including by developing new or improved energy forecasting models that enable more granular and integrated analysis of future energy demand.",,,,Active,7.4,6.1,January 2025,June 2027
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 3,Commonwealth Climate Risk and Opportunity Management Program,"To enhance climate risk management capabilities across the Commonwealth public sector, a new climate risk management guide and learning and development tools have been developed. To support this capability, the climate risk management digital tool was  developed as a user-friendly digital tool that provides the necessary data, knowledge and guidance to Australian Public Service agencies to produce climate risk assessment reports.",,,,Closed,9.3,4.4,July 2022,June 2024
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 3,Environment Information Australia,"Environment Information Australia (EIA) has been established to provide accessible, interoperable and high-quality environmental data and information. The investment  supports EIA to deliver environmental information, analytics and tools to support the department and government to undertake their regulatory and policy responsibilities and give business and the public easier access to environmental data and information.",,,,Closed,51.0,6.0,July 2023,June 2025
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 3,Online Data Collection and Reporting Mechanism for the Diesel Exhaust Fluid (DEF) Market,The purpose of the market transparency measure for the DEF sector is to establish a data collection and reporting framework for the DEF market to increase transparency and assist in avoiding future supply shortages.,,,,Active,4.6,4.6,October 2022,June 2026
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 3,Sustaining Environmental Assessments,"The Sustaining Environmental Assessments measure provided funds to extend this workflow system to include a searchable public register of Environment Protection and Biodiversity Conservation Act 1999 offsets (the National Environmental Offset System) and for integration with the compliance investigations ICT system. This work included design of functional interfaces with the systems being developed for compliance purposes and risk ratings, so these systems can operate in the future as modules of a more comprehensive approach to managing information relevant to the protection of the environment.",,,,Closed,2.5,2.5,July 2022,June 2025
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 3,Waste Exports Licencing and Declaration (WELD),"This project involved enhancements to the WELD business system to reflect new legislation for waste exports under the Recycling and Waste Reduction Act 2020 and associated Rules, including the introduction of paper and cardboard as a new regulated waste stream in 2024.",,,,Closed,0.7,0.7,November 2024,June 2025
"Climate Change, Energy, the Environment and Water",Inspector-General of Water Compliance,Tier 3,Inspector-General of Water Compliance (IGWC) ICT Enabling Systems,"The Digital and Data Strategy will guide the IGWC’s investment into ICT and data needs, to support water compliance and oversight functions for the Murray-Darling Basin.
The strategy will be implemented in phases, with the initial phase prioritising IGWC system identity and access security, and development of governance arrangements for data and information management. Strategy progress and currency will be regularly reviewed to adapt to any new regulatory or information and data needs and ICT options.",,,,Closed,1.3,1.3,October 2024,June 2025
"Climate Change, Energy, the Environment and Water",Murray-Darling Basin Authority,Tier 3,Basin Plan Review Program (Basin Plan Review ICT and Data Project),"This project is implementing the Australian Government’s commitment to safeguard and future-proof the Murray-Darling Basin by preparing for, and undertaking in full, the statutory Basin Plan Review. Outcomes include enabling data and ICT required to support the review, making data and information publicly available and accessible to a range of audiences, and managing delivery of the work program.",,,,Active,103.7,14.5,July 2023,June 2027
Education,Department of Education,Tier 1,Tertiary Collection of Student Information (TCSI) Renewal Project,"The TCSI Renewal Project is an ICT project delivering improved decision-making, service provision, access and security. It will reduce administrative overheads, improve productivity and increase satisfaction of higher education providers and students. The benefits will be delivered through enhancements to analytic capacity, monitoring and service delivery tools, to drive more accurate and timely data collection processes and ensure the security and privacy of data holdings.",Medium-High,Medium-High,Not reported,Active,32.4,27.8,July 2023,June 2026
Education,Department of Education,Tier 2,Education Funding System (EFS) (Transforming Program Administration for Schools and Higher Education (TPASU),"The EFS project is a significant initiative by the department to modernise and streamline the management of education funding across Australia, to improve the administration of $46 billion in annual funding allocated to Australian schools and higher education institutions.
At the time of preparing this report, this project is subject to the escalation protocols set out in the Assurance Framework for Digital and ICT Investments. These protocols are designed to support agencies in the timely resolution of delivery challenges.",Medium-High,Medium-Low,Medium-High,Active,88.0,71.0,July 2023,December 2026
Education,Department of Education,Tier 3,Child Care Subsidy (CCS) - Automation and Streamlining of Gap Fee Compliance,"The CCS – Automation and Streamlining of Gap Fee Compliance project aims to enhance CCS program integrity and efficiency by automating and streamlining gap fee compliance activities. This project is part of broader efforts from 2022–23 to 2024–25 to prevent fraud and ensure compliance, delivering significant savings over 6 years. The project enhances the financial support through the CCS, benefiting Australian families and children.",,,,Active,7.5,7.5,July 2024,June 2026
Education,Department of Education,Tier 3,Schools Unique Student Identifier (USI),"The Schools USI project is a national enabling initiative in the Better and Fairer Schools Agreement 2025–2034 (BFSA). The initiative expands the national USI system operating currently in the vocational education and training (VET) and higher education sectors to the school education sector. Once fully implemented, a unique number will be assigned to all primary and secondary school students in Australia, including students in alternative schooling arrangements such as homeschooling. This unique national number will be able to travel with a student throughout their school years and into VET and higher education. Implementation of the Schools USI national enabling initiative will continue in 2026 consistent with the BFSA schedule, with all school students to receive a USI by the end of 2027.",,,,Active,NFP,NFP,January 2019,December 2027
Employment and Workplace Relations,Australian Skills Quality Authority,Tier 2,Digital Transformation Program (Strengthening Integrity of the VET sector),"The Australian Skills Quality Authority (ASQA) is the national regulator of the VET sector. In February 2024, ASQA commenced a 3.5-year Digital Transformation Program to address issues with its existing ICT systems and data capabilities. The objective of the program is to ensure that ASQA is a modern, best-practice regulator, through the implementation and integration of contemporary systems and applications that will ensure ASQA can efficiently and effectively deliver its regulatory and organisational priorities.",Medium-High,High,,Active,24.8,24.8,January 2024,June 2027
Employment and Workplace Relations,Department of Employment and Workplace Relations,Tier 1,VSLConnect Project,"This project is enabling the Australian Government to better realise the benefits of the VET Student Loans (VSL) program and minimise the risk of occurrences such as the recent historical student debt issue. It will have a stronger focus on compliance and automation, and deliver a system that is flexible, scalable and stable, with a greatly enhanced data collection, integration and analytics capability.",Medium,Medium-High,Not reported,Active,41.8,33.2,July 2023,December 2025
Employment and Workplace Relations,Department of Employment and Workplace Relations,Tier 2,Parent Pathways,"The project is supporting the implementation of Parent Pathways, a voluntary service that provides personalised assistance and financial support to eligible parents and carers of children up to the age of 6 years. This extended ParentsNext to 31 October 2024 and introduced Parent Pathways from 1 November 2024, which included releasing the IT system on the Workforce Australia Digital Platform and the APS Pilot. As part of the project, enhancements will be made to Parent Pathways.",Medium,Medium-High,,Active,68.7,36.8,November 2023,June 2026
Employment and Workplace Relations,Department of Employment and Workplace Relations,Tier 3,Enhancements to the Workforce Australia Digital Platform to administer the redesigned foundation skills program,"The redesigned Skills for Education and Employment (SEE) program will improve the language, literacy, numeracy and digital literacy (LLND) skills for Australians. The program will feature 2 complementary streams of LLND training delivery. Enhancements to the Workforce Australia Digital Platform are required to support the delivery, data reporting and compliance arrangements of the redesigned SEE program.",,,,Active,10.9,10.9,July 2023,June 2026
Employment and Workplace Relations,Department of Employment and Workplace Relations,Tier 3,Pacific Australia Labour Mobility (PALM) scheme insourcing,"The project transferred the Pacific Australia Labour Mobility Information System (PALMIS) to the department's infrastructure from July to December 2023. Work is now focused on expanding and enhancement to align PALMIS with the department’s operating model. PALMIS will provide strong oversight and reporting, which will support the government’s plan to Build a Stronger Pacific Family, uphold worker protections, and address unmet labour needs in regional and rural Australia.",,,,Active,9.0,9.0,July 2023,June 2026
Employment and Workplace Relations,Department of Employment and Workplace Relations,Tier 3,"Reconnection, Employment and Learning (REAL) Program",This project supports the implementation of the REAL Program that is replacing the Time to Work Employment Service. The REAL Program is a voluntary program that will support First Nations prisoners aged 15 years and over to transition from the justice system into employment and learning. ,,,,Active,60.6,7.7,June 2024,June 2030
Finance,Australian Electoral Commission,Tier 1,Election Systems Modernisation Program (Indigo),"The Indigo Program aims to modernise core ICT infrastructure and systems of the Australian Electoral Commission (AEC) to deliver integrated, secure and modern electoral services that meet community needs and expectations into the future. The replacement of legacy systems with modern technology and infrastructure will enhance and bolster the AEC’s ability to manage security risks and strengthen Australia’s ongoing democratic resilience. Tranche 1 has been delivered, and Tranche 2A is scheduled to be completed in 2027. The AEC will seek authority to come back for a future budget request to undertake Tranche 2B.",Medium,Medium-High,Medium-High,Active,NFP,NFP,January 2020,June 2029
Finance,Australian Electoral Commission,Tier 1,Funding and Disclosure Reform Program,"The purpose of the AEC is to maintain an impartial and independent electoral system for eligible voters. As part of this, the AEC regulates the Commonwealth Funding and Disclosure Scheme. The government has introduced legislative amendments to address recommendations of the Joint Standing Committee on Electoral Matters (JSCEM) related to this scheme. 
The Funding and Disclosure Reform Program was established in March 2025 to enable the AEC to implement the legislative amendments to the scheme. Under the program, the AEC will develop modern, agile and scalable IT platforms, uplift AEC capability, policy and processes consistent with its evolving regulatory role, and deliver a comprehensive package of communications and guidance to support stakeholders transition to new legislative obligations.",Medium,,,Active,NFP,NFP,March 2025,June 2028
Finance,Australian Electoral Commission,Tier 2,Polling Place Technology Project,"This project is delivering enhanced technology to enable expansion of voter and polling place technology, through up to 10,000 laptops accessing an electronic copy of the electoral roll, called an Electronic Certified Lists. Electronic Certified Lists are portable computers deployed to polling places as a replacement to paper certified lists. The program is trialling a ‘digital officer in charge return’ at selected polling locations, which allows results to be transmitted directly into the AEC election management system.",High,Medium,Medium-High,Closed,15.5,15.5,January 2022,June 2025
Finance,Department of Finance,Tier 1,Digital ID Program,"The Digital ID program aims to provide Australians with a secure, convenient, voluntary and inclusive way to prove their identity online. Key components include a legislative framework, an Accreditation Scheme, and the Australian Government Digital Identity System. The program will also focus on increasing public awareness and adoption across government and the private sector.",Medium-High,Medium-High,Medium-High,Active,408.2,187.8,July 2023,June 2026
Finance,Department of Finance,Tier 2,Parliamentary Expenses Management System (PEMS) Enhancement Project,"The PEMS is a digital solution for the management and reporting of human resources and payroll, as well as office and travel expenses for parliamentarians, their staff and the administering agencies. The Enhancement Project is a 2-year initiative that will deliver improvements and efficiencies to the functionality of PEMS.",Medium-High,Medium,,Active,11.2,10.6,July 2024,June 2026
Finance,Department of Finance,Tier 3,Improving transparency of procurement data to support the Buy Australian Plan,"This initiative supports the implementation of the Buy Australian Plan by improving the transparency of Australian Government procurement activity through enhanced AusTender capabilities, including the establishment of a dedicated and integrated panel supplier portal. It is also improving AusTender’s reporting capability to increase transparency.",,,,Active,9.9,9.9,October 2023,July 2027
Finance,Department of Finance,Tier 3,Service Delivery Office Security and Reliability ,"The Security and Reliability program will deliver necessary ICT upgrades with a focus on cyber and data capabilities to maintain the security and reliability of the Service Delivery Office, systems which provide corporate shared services to 16 client entities across the APS.",,,,Active,12.0,12.0,July 2024,June 2026
Finance,Services Australia,Tier 1,Health Delivery Modernisation (HDM),"The HDM Program stabilised, modernised and transformed the health payments system that underpins Medicare, the Pharmaceutical Benefits Scheme and other health-related programs. The HDM Program delivered new digital health services and established new health transformation capabilities to strengthen and modernise digital health across Australia’s healthcare settings, platforms and systems.",Medium-High,Medium-High,Medium-High,Closed,487.6,194.4,July 2018,September 2025
Finance,Services Australia,Tier 2,Safely Connecting Australians with Support,"Enhancements to the myGov platform to continue to respond to the findings of the Critical National Infrastructure myGov User Audit. This includes enhancements to the myGov support tool, strengthening myGov fraud detection capabilities, improving the myGov inbox and other communication capabilities, and supporting users to better secure their myGov accounts.",Medium-High,High,,Active,49.5,25.6,July 2024,June 2026
Finance,Services Australia,Tier 3,Overseas Health Practitioner Digital Registration Project (OHPDR),"Australia is facing a shortage of key healthcare practitioners, putting the health system and existing workforce under pressure. Australians – especially those living in rural and remote areas – are finding it increasingly difficult to access healthcare.  
Services Australia is delivering the OHPDR as part of the 2024–25 Budget Measure ‘Health workforce’. This is implementing Recommendation 2, Automate the issuance of Medicare provider numbers, of the Final Report of the Independent Review of Australia’s Regulatory Settings Relating to Overseas Health Practitioners. The report, endorsed by National Cabinet, made recommendations to improve health practitioner registration, skill and qualification recognition for overseas trained health professionals and international students who have studied in Australia.",,,,Active,15.0,7.7,July 2024,February 2026
Finance,Services Australia,Tier 3,Response to Services Australia Budget and Efficiency Review – the Cyber Security Uplift Project (CSUP),The CSUP was established to address immediate agency cyber security risk and improve its cyber security maturity.,,,,Closed,NFP,NFP,July 2024,June 2025
Finance,Services Australia,Tier 3,Services Australia Improved Safety for Staff and Customers Phase 2,"The project is implementing recommendations of the Security Risk Management Review to strengthen security and safety measures for Services Australia staff and customers.
The 2024–25 Budget committed an additional $314.1 million over 2 years to implement some of the remaining recommendations of the review in full, strengthening security and safety measures to achieve sustained benefits for Services Australia staff and customers (Phase 2). A total of 14 review recommendations will be implemented in full with government funding (via 7 registered projects) and the remaining 30 recommendations with existing agency resources.",,,,Active,362.2,109.8,July 2024,July 2026
Finance,Services Australia,Tier 3,Strengthening Medicare - Chronic Wound Consumables Scheme for Patients with Diabetes,"This project is improving the management of wounds for patients in primary care settings by providing education and training for healthcare professionals and providing fully subsidised wound consumable products to people with chronic wounds. The pilot phase of this project is limited to people with a chronic wound and diabetes who are aged 65 and over (or aged 50 and over for First Nations people). If the pilot is successful, the program may be expanded to all Australians with chronic wounds.",,,,Active,16.7,10.4,June 2023,June 2026
Foreign Affairs and Trade,Australian Trade and Investment Commission (Austrade),Tier 2,Go Global Toolkit Expansion (GGT),"The GGT is a single, simple and trusted source of practical export support for all Australian business. Enhancement to GGT will improve export readiness of Australian businesses and aim to grow Australian exports through capability uplift. Enhancements include online export support that is personalised and tailored to Australian business interests, capabilities and emerging global market opportunities. Businesses can access tailored market insights, events and news articles based on their sectors and markets of interest. They can also access exclusive exporting webinars and track their progress through the export journey. 
The GGT supports the government’s trade priorities, including diversification, and also provides information on how to use new free trade agreements. It allows for trade services to be delivered digitally, at scale – a key expectation of modern Australian businesses.",Medium-High,Medium-High,,Active,10.9,9.0,July 2024,June 2026
Foreign Affairs and Trade,Department of Foreign Affairs and Trade,Tier 1,Department of Foreign Affairs and Trade (DFAT) Digital Uplift ,"This program addresses cyber security vulnerabilities across DFAT’s International Communications Network and improves collaboration across government, ensuring DFAT maintains Level 2 of the Cyber Essential Eight Maturity Model.",Medium,Medium-High,,Active,106.2,106.2,July 2024,June 2028
Foreign Affairs and Trade,Department of Foreign Affairs and Trade,Tier 2,International Communications Network (ICN) Stabilisation Program ,"This program is stabilising the current ICN by replacing aged core ICT infrastructure components (servers and network switches) along with some uninterruptable power supply (UPS), fibre remediation and replacement of end-of-life Multi-Function Devices.
Stabilisation is necessary to ensure critical systems outages are reduced and support the development of new and enhanced ICT capabilities to meet Australia's current and future communication requirements, including delivery of future government foreign policy and trade goals, as detailed in DFAT’s 10-year capability plan.",Medium-High,High,Not reported,Active,90.2,90.2,July 2023,June 2026
Foreign Affairs and Trade,Department of Foreign Affairs and Trade,Tier 3,Foreign Arrangements Scheme (FAS) – Australia’s Foreign Relations Act (AFRA) online portal and website enhancement (known as the AFRA Digital/ICT enhancement program),"This project will ensure the ongoing enhancement and maintenance of the FAS online portal and website, including the public register. This project will also ensure the government can meet its legislative responsibilities under the Australia’s Foreign Relations (State and Territory Arrangements) Act 2020, be responsive to stakeholder feedback and implement outcomes from the recent Legislative Review
* This total budget reflects the costs associated with delivery of the required digital and ICT capability and does not include costs associated with managing and delivering all regulatory functions of the Foreign Arrangements Scheme. Total program budget 29.8 million.",,,,Active,10.3,10.3,July 2023,June 2027
"Health, Disability and Ageing",Aged Care Quality and Safety Commission,Tier 3,Response to the Final Report of the Capability Review of the Aged Care Quality and Safety Commission – cyber uplift,"Cyber Uplift Phase 3 commenced in July 2025 with focus on Maturity uplift and Transition covering the following projects:
1. Security Information and Event Management (SIEM) / Security Orchestration, Automation, and Response (SOAR) / Centralised Log Ingestion (CLI) Foundations
2. Cyber Governance – Beyond Foundations
3. Multi-Factor Authentication (MFA) Review and targeted uplift
4. Vulnerability Management – Beyond Foundations
5. Application Control Capability Implementation
6. Vulnerability Scanning Capability Implementation
7. Integrated Security Architecture",,,,Active,69.4,69.4,January 2024,June 2026
"Health, Disability and Ageing",Australian Digital Health Agency,Tier 3,Investing in a modernised My Health Record to drive a digitally connected healthcare system for all Australians,"The project will establish a new national repository service to improve the My Health Record system, aligned with the contemporary health industry data standard Health Level 7 (HL7) Fast Healthcare Interoperability Resources (FHIR). This will drive a digitally connected healthcare system for all Australians, and supports use of mobile apps, in line with the National Digital Health Strategy 2023–2028. The vision is to enable a contemporary capability for My Health Record, as a foundation for the healthcare modernisation journey, which will increase value to customers and healthcare providers accessing data.",,,,Active,64.2,64.2,September 2023,June 2026
"Health, Disability and Ageing",Australian Radiation Protection and Nuclear Safety Agency,Tier 3,Ensuring Radiation Protection and Nuclear Safety for All Australians,"Phase 1 (completed) developed a self-service portal to enable customers of the agency’s Personal Radiation Monitoring Service to access a range of online capabilities to enhance the customer experience. 
Phase 2 (underway) is developing a laboratory information management system to improve internal workflow efficiency.",,,,Active,2.5,2.5,February 2023,December 2026
"Health, Disability and Ageing","Department of Health, Disability and Ageing",Tier 1,Aged Care Transformation Program – New Aged Care Act ,This project involves the design and delivery of the business and digital projects requirements to support the implementation and operationalisation of the Aged Care Act 2024.,Medium-High,Medium-Low,,Active,692.8,692.8,July 2023,June 2027
"Health, Disability and Ageing","Department of Health, Disability and Ageing",Tier 1,Aged Care Transformation Program - Support at Home,"A new program called Support at Home brings together some in-home aged care programs from 1 November 2025. Under the Support at Home program, there will be improved access to services, products, equipment and home modifications to help older people to remain healthy, active, and socially connected to their community.",Medium-High,Low,Medium-Low,Active,705.9,174.7,January 2022,June 2026
"Health, Disability and Ageing","Department of Health, Disability and Ageing",Tier 2,Establishing an Australian Centre for Disease Control (CDC),"This project presents a 3-pronged approach to establishing data capability for the Australian CDC. This includes: exploratory work for a national public health surveillance system; design of nationally consistent public health data, analytics and decision-support through a Public Health Data Network (Data Network); introduction of a public health data stewardship function to facilitate national coordination in public health action; and the development of in-house capabilities for advanced analytics within the Australian CDC to provide timely, accurate decision-support across CDC functions.",High,,,Active,26.4,3.6,January 2025,January 2027
"Health, Disability and Ageing","Department of Health, Disability and Ageing",Tier 2,Next Phase of the National Disability Data Asset (NDDA),"The project will establish an enduring NDDA of linked, de-identified data, leveraging multiple Australian, state and territory government service systems and surveys to provide insights on the outcomes of people with disability and their pathways through services.",Medium,Medium,Medium,Active,87.7,53.6,January 2022,June 2027
